function,description
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K00153,E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154,E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00156,poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00158,"E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]"
K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
K00166,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]"
K00167,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]"
K00169,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172,porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
K00175,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
K00176,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
K00177,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
K00179,"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
K00180,"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"
K00183,"K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit"
K00184,"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
K00185,"K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"
K00186,"vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"
K00187,"vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"
K00188,"vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"
K00192,cdhA; acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]
K00193,cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]
K00194,"cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]"
K00195,cdhB; acetyl-CoA decarbonylase/synthase complex subunit epsilon
K00196,cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197,"cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]"
K00198,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
K00200,"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]"
K00201,"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"
K00202,"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]"
K00203,"fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]"
K00204,fwdH; 4Fe-4S ferredoxin
K00205,"fwdF, fmdF; 4Fe-4S ferredoxin"
K00208,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
K00210,E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]
K00211,TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00213,DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214,"BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]"
K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
K00217,E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
K00218,por; protochlorophyllide reductase [EC:1.3.1.33]
K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
K00220,tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221,E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K00226,pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K00227,"SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]"
K00228,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
K00230,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]"
K00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]"
K00239,"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
K00240,"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
K00241,"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
K00242,"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
K00243,K00243; uncharacterized protein
K00244,frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245,frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246,frdC; fumarate reductase subunit C
K00247,frdD; fumarate reductase subunit D
K00248,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
K00249,"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
K00252,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
K00253,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
K00254,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
K00255,ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00256,E1.3.99.16; isoquinoline 1-oxidoreductase [EC:1.3.99.16]
K00257,"mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]"
K00259,ald; alanine dehydrogenase [EC:1.4.1.1]
K00260,"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]"
K00261,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
K00262,"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
K00263,E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K00264,GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
K00265,gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]
K00266,gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
K00270,pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
K00271,vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00273,"DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]"
K00274,"MAO, aofH; monoamine oxidase [EC:1.4.3.4]"
K00275,"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
K00276,"AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]"
K00278,nadB; L-aspartate oxidase [EC:1.4.3.16]
K00280,LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281,"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
K00282,gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283,gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284,E1.4.7.1; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285,dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
K00288,MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289,ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00290,"LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
K00293,"LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
K00294,E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00297,"metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
K00298,ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K00299,ssuE; FMN reductase [EC:1.5.1.38]
K00301,E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
K00302,"soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]"
K00303,"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]"
K00304,"soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]"
K00305,"soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]"
K00306,PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
K00311,ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00313,fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00315,DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K00316,spdH; spermidine dehydrogenase [EC:1.5.99.6]
K00317,dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318,PRODH; proline dehydrogenase [EC:1.5.-.-]
K00319,mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]
K00320,"mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"
K00322,"sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]"
K00324,pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
K00325,pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
K00329,E1.6.5.3; NADH dehydrogenase [EC:1.6.5.3]
K00330,nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]
K00331,nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]
K00332,nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]
K00333,nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]
K00334,nuoE; NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]
K00335,nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]
K00336,nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]
K00337,nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
K00338,nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
K00339,nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]
K00340,nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]
K00341,nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00342,nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]
K00343,nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]
K00344,"qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]"
K00346,nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]
K00347,nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]
K00348,nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]
K00349,nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]
K00350,nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]
K00351,nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]
K00354,E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
K00355,NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00356,E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]
K00360,nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
K00362,nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
K00363,nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
K00364,"E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]"
K00365,uaZ; urate oxidase [EC:1.7.3.3]
K00366,nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
K00367,narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
K00368,nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370,"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
K00371,"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
K00372,nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
K00373,"narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW"
K00374,"narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
K00375,K00375; GntR family transcriptional regulator / MocR family aminotransferase
K00376,nosZ; nitrous-oxide reductase [EC:1.7.2.4]
K00380,cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
K00381,cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
K00382,"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
K00383,"GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]"
K00384,"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
K00385,asrC; anaerobic sulfite reductase subunit C
K00387,SUOX; sulfite oxidase [EC:1.8.3.1]
K00389,yidH; putative membrane protein
K00390,cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K00392,sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00394,"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
K00395,"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
K00399,mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
K00400,"K00400; methyl coenzyme M reductase system, component A2"
K00401,mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
K00402,mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
K00404,ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]
K00405,ccoO; cytochrome c oxidase cbb3-type subunit II
K00406,ccoP; cytochrome c oxidase cbb3-type subunit III
K00407,ccoQ; cytochrome c oxidase cbb3-type subunit IV
K00410,fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
K00411,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]"
K00412,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
K00413,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
K00423,E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
K00425,cydA; cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]
K00426,cydB; cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]
K00427,"lldP, lctP; L-lactate permease"
K00428,E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K00430,E1.11.1.7; peroxidase [EC:1.11.1.7]
K00432,gpx; glutathione peroxidase [EC:1.11.1.9]
K00433,cpo; non-heme chloroperoxidase [EC:1.11.1.10]
K00435,hemQ; Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]
K00436,hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
K00437,hydB; [NiFe] hydrogenase large subunit [EC:1.12.2.1]
K00440,frhA; coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]
K00441,frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K00442,frhD; coenzyme F420 hydrogenase subunit delta
K00443,frhG; coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]
K00446,"dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]"
K00448,"pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"
K00449,"pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
K00450,"E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]"
K00451,"HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
K00452,"HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"
K00453,"TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]"
